#{"t_start": 1628804864.770609, "env_id": "LunarLander-v2"}
r,l,t
-62.217393,115,2.645303
-451.549589,81,2.871783
-414.564908,136,3.247747
-183.383268,78,3.407038
-348.88513,162,3.774104
-564.864899,217,4.269837
-250.745046,83,4.451662
-406.721293,101,4.687177
-285.235295,96,4.974885
-361.300053,91,5.249155
-332.748881,129,5.923729
-494.809004,141,6.555979
-505.960242,114,6.850024
-363.384698,111,7.292985
-509.450711,147,7.816734
-216.922851,139,8.310247
-258.231387,130,8.631912
-236.999592,107,8.86862
-125.559024,134,9.163052
-174.827327,122,9.429017
-10.451584,155,9.901554
-248.03294,159,10.437664
-524.806849,175,11.012868
-217.341505,94,11.227534
-161.063741,154,11.579304
-174.199825,140,11.894119
-249.428347,132,12.188509
-242.32383,161,12.675556
-400.34153,148,13.136788
26.500012,214,13.660579
-376.491621,151,14.053323
-293.563373,173,14.495708
-109.442677,217,15.010683
-488.193877,205,15.534295
-303.197535,163,15.914696
-321.109953,150,16.509342
-307.066634,269,17.497591
-308.537734,195,18.046667
-210.227475,223,19.10498
63.361165,154,19.690364
-211.035461,246,20.475139
-286.763182,247,21.09423
41.249279,158,21.478575
-27.46404,206,21.961233
54.93565,1000,26.070996
-46.591794,235,26.722973
-240.005577,290,27.517823
-244.389479,272,28.244156
34.728473,165,28.758489
-89.606065,181,29.397107
-275.748844,385,30.954795
-30.999562,250,32.07116
-248.401741,369,33.854222
-135.712335,205,34.567057
-137.825724,595,37.334426
-154.189331,301,38.406083
-199.972824,265,39.201889
-188.636915,193,39.701106
-47.872006,267,40.758014
-24.71357,333,42.506917
-91.634773,299,43.641891
-133.936478,186,44.107912
-267.492841,262,45.070761
-31.938876,224,45.659213
-87.773151,179,46.223925
-20.695846,182,46.653776
-109.910168,171,47.097659
-163.973064,285,48.1549
-243.10686,176,48.671651
-203.547724,327,49.58991
-31.477049,209,50.108518
184.633256,333,51.391382
-36.280844,255,52.112079
-40.292157,221,52.730898
145.781713,1000,57.716451
-2.369864,251,58.374799
-86.101111,169,58.922262
268.718304,433,61.180503
-257.598611,225,61.969614
-183.584971,225,62.555881
-229.497484,215,63.085639
-259.282078,221,63.730386
268.037762,392,65.180359
-135.324114,152,65.819892
260.513374,408,68.063804
-203.175551,208,69.340784
-211.047743,273,70.888165
5.236376,174,71.560825
16.942114,255,72.82983
-196.778804,253,74.362444
-11.444867,155,75.014775
-246.920586,318,76.657124
-2.491284,239,77.973493
64.249711,306,79.681111
-56.397251,222,80.760169
-48.02763,220,81.885617
-191.01506,285,83.483909
-23.937361,305,85.183196
-224.997689,139,85.783729
-16.717875,181,86.66288
-276.759931,288,87.92072
-209.239247,271,89.580031
35.237256,188,90.513821
-65.893171,229,91.527561
-44.365707,152,92.299652
-10.102107,170,93.050074
1.638889,200,94.179634
-163.879129,174,95.094324
-195.839778,227,96.302113
55.860113,207,97.225981
-239.371254,322,98.888143
8.307187,202,100.027745
-243.545495,272,101.247186
-179.31099,143,101.991172
-270.586087,226,102.911611
-43.200387,160,103.732786
-260.592752,157,104.633611
-199.62501,336,106.526483
-30.567291,240,107.51989
-224.12695,301,109.230834
-1.351161,160,110.088625
-32.500785,151,110.659508
-185.121464,141,111.267911
15.899751,221,112.410256
-194.766791,203,113.535301
-71.030877,363,115.532719
210.972214,557,118.688149
10.030467,176,119.724524
7.712367,272,121.113266
-96.509797,205,122.065092
193.309975,567,125.64489
-104.470914,221,126.651211
-253.298434,166,127.435773
232.765918,401,129.372918
-2.290862,377,131.749334
-57.687276,380,133.833862
-158.48554,225,134.784268
-179.876787,158,135.660915
-189.7207,283,137.241139
228.117719,325,138.853666
280.878389,361,140.802523
-44.606364,231,142.130162
-165.547521,270,143.316007
-1.848726,178,144.248172
-30.997884,221,145.287474
-22.243246,169,146.245725
-183.712999,256,147.468
-50.24936,270,148.872367
-213.583808,247,149.952147
5.409995,92,150.338732
254.284401,397,152.794053
-160.008857,125,153.40424
233.122408,415,155.230448
-12.988644,288,157.021549
25.96552,281,158.326116
-135.478464,154,159.094186
42.74993,201,159.924779
-159.792313,244,161.147614
-9.833512,235,162.532641
-61.494167,365,164.520627
-56.819162,283,165.862332
-94.762853,288,167.507571
-51.19323,374,169.487389
-181.29202,147,170.067639
