#{"t_start": 1628797123.813883, "env_id": "LunarLander-v2"}
r,l,t
-217.151814,140,1.087748
-244.658443,112,1.166857
-101.796105,80,1.206261
-180.895965,97,1.280908
-178.623834,73,1.343047
-198.749774,91,1.425563
-121.083397,105,1.524336
-201.998263,94,1.606288
-169.498203,80,1.676281
-141.687929,82,1.74206
-94.791183,62,1.794967
-114.072452,79,1.870323
-150.032992,108,1.980258
-181.189911,93,2.049228
-177.790103,109,2.137268
-172.889087,103,2.223714
-252.636507,85,2.302678
-292.284001,110,2.397326
-87.64462,72,2.449745
-82.583209,101,2.528054
-110.079688,116,2.635864
-209.15403,126,2.715466
-399.532518,92,2.782151
-118.684735,134,2.866373
-92.312812,70,2.94957
-81.239397,72,3.013685
-206.99512,66,3.07326
-84.46097,65,3.140338
-105.968937,143,3.285893
-102.903387,65,3.35466
-89.922153,71,3.426879
-217.675029,81,3.514265
-158.805341,75,3.592788
-90.915007,132,3.726039
-169.822762,87,3.793743
-14.538277,98,3.89199
-124.797254,63,3.946408
-315.039402,76,4.019568
-364.418796,96,4.105463
-357.516668,81,4.175468
-160.763254,67,4.25309
-131.830571,103,4.344204
-150.025178,89,4.445313
-139.555965,115,4.563077
-571.994041,101,4.665968
-134.801767,73,4.730118
-150.050458,129,4.841276
-119.740873,87,4.94365
-267.416619,124,5.060871
-192.344427,101,5.192334
-523.223388,108,5.313503
12.256971,79,5.405839
-238.926604,105,5.523625
-70.510912,71,5.593243
-140.958628,89,5.6804
-150.048113,93,5.788167
-177.656248,86,5.880051
-134.134873,113,6.011353
-205.539306,110,6.112478
-126.932997,121,6.216685
-314.351882,132,6.35421
-95.878552,67,6.419933
-226.087884,120,6.545633
-86.687205,58,6.579554
-72.151194,74,6.653255
-210.942718,99,6.719756
-226.236845,106,6.788324
-218.599799,71,6.826784
-150.606263,101,6.910545
-124.438836,102,7.011755
-158.046196,62,7.045587
-244.192343,120,7.119064
-45.052981,70,7.173326
-109.580468,64,7.206647
-156.76846,142,7.29152
-428.278418,116,7.355185
-125.353734,98,7.43008
-153.840144,106,7.492434
-97.092243,75,7.527467
-232.235249,82,7.568647
-65.178252,71,7.620808
-285.439856,105,7.678073
-368.761756,90,7.724913
-128.239551,106,7.779392
-134.613182,112,7.868427
-131.497323,128,7.945861
-158.906072,82,7.99385
-180.039573,67,8.02716
-85.55314,117,8.109061
-143.129647,91,8.154268
-96.955585,97,8.206583
-129.578947,94,8.263267
-281.45047,122,8.387863
-97.454916,70,8.435829
-156.180937,97,8.538456
-334.031578,131,8.620853
-61.413091,60,8.659664
-287.377734,102,8.725187
-200.157722,74,8.76071
-78.415856,63,8.792984
-114.825781,108,8.872745
-105.17148,110,8.928887
-85.820964,84,8.968066
-98.872272,67,9.007637
-505.269813,120,9.094955
-119.893408,75,9.13582
-85.868665,134,9.374359
-128.806214,69,9.409758
-139.375483,71,9.459412
-108.391237,101,9.516186
-98.163562,88,9.562407
-253.247097,136,9.640477
-189.102181,106,9.72026
-149.484281,72,9.753553
-187.279421,122,9.825864
-220.278092,92,9.872862
-275.479388,91,9.939205
-254.478686,124,10.004764
-125.342302,120,10.072162
20.620986,143,10.152242
-54.985615,103,10.227785
-117.536715,74,10.2628
-84.147646,74,10.298753
-103.992213,123,10.377164
-100.176652,70,10.428103
-208.457103,89,10.473732
-319.825785,128,10.541713
-174.507082,101,10.598414
-235.16091,68,10.644465
-273.124701,102,10.698248
-236.745101,109,10.762919
-153.814487,114,10.82593
-87.990224,60,10.862612
-117.850141,80,10.9153
-109.334425,64,10.948308
-118.671694,74,10.990261
-164.086785,120,11.096654
-82.81204,65,11.149469
-89.148655,71,11.205096
-285.140807,74,11.263051
24.554319,71,11.326713
-87.268491,86,11.393141
-244.712243,107,11.482216
-102.751223,92,11.557016
-231.490858,88,11.626678
-108.975857,88,11.695194
-330.158257,88,11.769216
-111.861916,120,11.845412
-101.239819,74,11.91046
-98.717401,72,11.97239
-88.859798,78,12.049865
-85.671394,86,12.093917
-96.645262,54,12.129188
-124.322861,121,12.212501
-38.954279,99,12.265157
-108.411053,121,12.341424
-64.548255,66,12.396698
-102.990924,70,12.432936
-60.954977,74,12.471147
-217.19758,98,12.527669
-80.008494,61,12.575987
-94.956719,77,12.618354
-93.190516,98,12.668757
-285.782662,106,12.73175
-151.107703,75,12.781109
-158.582164,65,12.816243
-157.23406,81,12.860003
-173.399627,91,12.905139
-97.365035,65,12.959227
-254.989447,104,13.023539
-112.801054,60,13.046452
-119.78067,87,13.088959
-130.375987,89,13.159001
-481.534201,100,13.206365
-89.574299,129,13.277983
-242.34476,108,13.339852
-103.557639,68,13.392833
-136.455945,58,13.425888
-122.158436,118,13.487578
-70.303347,69,13.525751
-117.71326,122,13.624015
-158.33752,90,13.665371
-112.627709,77,13.707984
-225.696647,92,13.753895
-189.88739,91,13.820318
-290.272844,73,13.856437
-233.503338,104,13.913153
-180.263531,74,13.949492
-135.720741,76,14.015257
-87.146956,75,14.057202
-121.715768,80,14.098372
-161.907774,174,14.210002
-63.98109,69,14.263942
-100.420402,72,14.299477
-268.467256,90,14.347815
-95.469997,62,14.377494
-108.766154,78,14.431321
-212.950465,105,14.493048
-279.436173,106,14.548576
-251.440937,103,14.599776
-234.588672,141,14.698907
-133.00801,81,14.741296
-145.739855,101,14.791415
-489.181945,113,14.848384
-205.659168,74,14.91271
-241.094624,117,14.983491
-108.541932,67,15.019644
-322.452784,99,15.069237
-312.165919,101,15.142607
22.401834,142,15.216149
-167.569646,104,15.276998
-101.922668,62,15.304215
-80.818185,78,15.374295
-184.086686,61,15.402022
-484.489458,143,15.484682
-149.813539,61,15.516033
-117.826463,59,15.554044
-131.323789,92,15.60933
-242.81304,95,15.655598
-269.388413,137,15.731918
-286.692232,88,15.797115
-197.127498,114,15.857044
-78.851864,90,15.902691
-106.347646,74,15.942877
-183.39035,69,15.992432
-46.77501,68,16.030618
-351.082867,100,16.079926
-75.405614,73,16.117558
-273.926091,117,16.198855
-233.394218,83,16.245727
-59.501922,73,16.280859
-354.866887,91,16.327215
-80.029165,60,16.364189
-191.286228,79,16.412953
-284.098869,103,16.463283
-268.629066,120,16.53772
-313.468412,88,16.599985
-222.178097,107,16.661088
-183.905413,72,16.696773
-131.450004,60,16.730046
-229.055925,86,16.798272
-214.35919,116,16.862788
-212.33998,95,16.910238
-141.388717,94,16.959939
-267.355735,74,17.020957
-38.154225,72,17.064478
-175.611812,112,17.144335
-146.812528,110,17.214254
-399.2383,93,17.29034
-145.078927,126,17.353392
-88.759773,60,17.380342
-183.223419,92,17.430552
-348.93107,112,17.51226
-222.311911,72,17.549791
-104.040823,73,17.593894
-93.575926,74,17.630333
-1.782341,151,17.750152
-458.029303,106,17.806453
-150.234064,102,17.862394
-107.06843,100,17.912293
-124.329551,119,17.995716
-391.882917,143,18.082473
-123.175002,68,18.117018
-223.895067,82,18.165675
-207.497267,93,18.233836
-114.106883,79,18.278559
-116.574906,80,18.317241
-172.214567,125,18.393981
-138.880976,70,18.439822
-252.149921,96,18.499614
-37.754922,72,18.534814
-47.284105,64,18.576097
-166.309222,115,18.663775
-210.688658,105,18.718847
-82.969643,62,18.748843
-242.841416,111,18.812133
-280.579521,111,18.898059
-311.467972,111,18.962133
-116.841479,60,18.991858
-70.178408,118,19.053888
-77.263298,77,19.11498
-359.471576,85,19.156214
-106.336387,97,19.206675
-176.126313,82,19.246509
-141.200038,94,19.31159
-255.040205,103,19.365635
-345.493491,117,19.431398
-273.60304,76,19.468547
-99.499558,92,19.53563
-161.479629,121,19.602116
-245.52485,98,19.657134
-374.115448,87,19.699944
-78.688682,102,19.793221
-99.900614,93,19.845642
-129.622537,73,19.881792
-235.15563,109,19.94581
-153.595909,86,20.01385
-143.572226,56,20.044435
-93.528269,71,20.077914
-276.652567,69,20.112429
-97.591764,68,20.167898
-378.859851,92,20.215862
-177.076511,91,20.265412
-321.355091,93,20.310028
-279.620862,92,20.382688
37.774104,93,20.432688
-32.587575,76,20.470687
-416.096028,93,20.516638
-139.702569,122,20.60438
-160.391028,99,20.659993
-93.324426,78,20.701365
-257.56319,70,20.743677
-123.307461,69,20.797815
24.733042,143,20.89228
-197.854016,89,20.940077
-69.307461,70,20.976367
-378.901904,84,21.049952
-154.528198,108,21.112207
-93.596358,102,21.166721
-324.632726,120,21.239998
-120.311077,92,21.307463
-417.34089,96,21.362939
-29.119705,133,21.436012
-57.115956,79,21.482927
-133.962951,78,21.544734
-409.374889,83,21.581786
-91.240207,70,21.616028
-51.276704,77,21.658977
-501.333716,80,21.725276
-101.865145,94,21.779442
-292.1064,94,21.828916
-234.519026,74,21.868055
-39.292957,111,21.947774
-105.96972,123,22.01577
-148.543613,120,22.081432
-162.552686,102,22.133296
-136.957685,82,22.201503
-282.782583,73,22.240236
-341.524518,70,22.278902
-354.456208,86,22.320228
-178.087774,83,22.390659
-87.963845,84,22.432875
-95.319486,76,22.472119
-178.401383,93,22.515666
-297.547224,69,22.564023
-350.314333,120,22.630645
-48.372695,58,22.660487
-119.859918,83,22.700081
-261.477745,100,22.776934
-274.472385,125,22.844018
-125.529138,94,22.890417
-168.480033,70,22.927138
-156.792606,91,22.988895
-66.685126,70,23.025221
-228.235013,83,23.068926
-421.291323,122,23.140141
-168.176039,84,23.201725
-380.387354,87,23.247495
-105.308356,99,23.295813
-215.842433,81,23.334881
-146.373445,67,23.391579
-328.946522,97,23.451775
-79.313359,86,23.496282
-140.852177,69,23.531246
-139.955466,63,23.577876
-324.813417,97,23.637173
-272.68628,111,23.700008
-245.888479,98,23.751953
-177.779587,90,23.81997
-55.139291,85,23.864952
-96.045652,83,23.904367
-419.410999,103,23.964336
-78.772689,103,24.040492
-87.407918,73,24.081588
-297.800805,100,24.129694
-99.949433,66,24.162114
-96.413164,112,24.249492
-325.944278,90,24.295969
-190.15172,84,24.335215
-145.689765,112,24.396787
-118.734868,69,24.448091
-99.352759,73,24.490449
-182.524781,89,24.533913
20.775156,145,24.6158
