#{"t_start": 1628789547.2193913, "env_id": "LunarLander-v2"}
r,l,t
-91.188832,64,0.433479
-379.532581,93,0.575833
-305.268272,84,0.726594
-370.169282,102,0.954833
-242.30225,75,1.191948
-424.976089,103,1.44168
-114.977669,88,1.716469
-312.676858,77,1.923999
-26.855621,108,2.286197
-355.323028,93,2.535136
-161.618274,87,2.766975
-44.047886,145,3.055243
-182.096239,98,3.22621
-323.658021,94,3.393385
-354.832045,107,3.578598
-183.323456,77,3.711557
-73.99763,70,3.835115
-178.740415,106,4.032705
-124.750863,67,4.145369
-60.962227,94,4.31096
-328.411339,111,4.516793
-456.986728,85,4.661261
-180.628867,92,7.361461
-114.51189,78,7.513551
-324.194805,92,7.695157
-296.60783,98,7.880719
-195.546677,137,8.164435
-44.233024,73,8.313852
-87.23223,135,8.579887
-57.067035,70,8.717605
-102.448249,87,8.881745
-395.773262,133,9.148846
-170.503642,136,9.429301
-87.58568,81,9.585973
-311.997671,100,9.780473
-126.923849,65,9.912265
-2.415262,93,10.096771
-274.540614,95,10.277627
-76.842013,67,10.410362
-219.680018,134,10.735392
-420.481999,94,10.931059
-122.473032,75,11.070101
-129.571177,103,11.271558
-360.705228,120,13.94894
-107.596162,89,14.103627
-185.651135,127,14.333194
-171.801992,116,14.542305
-255.006415,124,14.763031
-353.481396,140,15.024868
-87.289586,109,15.215198
-119.823723,118,15.426753
-404.97265,150,15.705787
-162.900775,143,15.966415
-86.472389,104,16.160087
-161.80418,186,16.53365
-87.251983,97,16.709751
-119.723602,95,16.878999
-171.589801,124,17.101937
-155.023914,121,17.317224
-166.552311,85,17.465318
-173.868151,127,19.958563
-106.718735,63,20.065386
-93.87528,76,20.195676
-34.624986,79,20.334067
-274.340751,111,20.544976
-97.255614,128,20.773624
-101.474314,158,21.064868
-464.663108,145,21.333881
-317.961312,94,21.501625
-159.219594,133,21.750192
-236.453976,125,21.979142
-130.466162,118,22.284925
-342.314268,125,22.631569
-67.419376,69,22.780512
-106.440615,87,22.933527
-145.211327,132,23.175484
-90.446184,70,23.300759
-94.044691,75,23.433216
-61.982742,105,23.618204
-81.797605,75,26.481034
-292.490795,102,26.658982
-104.520547,122,26.904405
-120.715478,121,27.134075
-75.056679,74,27.264902
-48.30361,126,27.495828
-83.021937,83,27.63931
-110.25016,76,27.76728
-102.985926,124,27.985594
-217.147227,140,28.237026
-56.297455,89,28.395612
-247.214447,118,28.613592
-44.345967,145,28.879878
-409.744225,171,29.197031
-393.409998,119,29.414991
-90.763919,88,29.567221
-58.592909,73,29.696776
-83.296203,78,29.834481
-306.372178,119,30.049713
-75.286926,127,33.299258
-72.241628,103,33.48291
-93.894198,108,33.669618
-96.719552,115,33.8806
-101.32068,66,33.995364
-63.313889,68,34.114022
-83.505956,130,34.353278
-158.769058,107,34.552965
-76.126489,70,34.680465
-77.591623,133,34.935878
-0.048781,132,35.176863
-160.722851,115,35.391766
-71.651659,125,35.637937
-76.705964,75,35.785347
-184.982866,89,35.960352
-103.722123,149,36.272734
-155.532262,111,36.493304
-110.319105,126,36.734179
-74.895814,79,36.872715
-339.606025,127,40.052658
-257.464701,97,40.23073
-55.432079,71,40.355029
-48.545155,83,40.50352
-128.229939,73,40.632843
-86.771149,98,40.820065
-49.213756,79,40.969945
-82.01624,115,41.184089
-95.07636,73,41.312609
-74.368833,133,41.556696
-74.619182,95,41.723499
-265.030843,112,41.924314
-81.995742,101,42.109968
-127.147368,131,42.351988
-305.354255,116,42.558087
-174.035516,122,42.781452
-242.562588,120,43.003826
-59.951426,148,43.27441
-98.935738,80,43.422075
-141.701996,74,43.553091
-9.907535,86,46.4843
-20.072742,82,46.622702
-2.457525,111,46.82606
-158.376682,120,47.050114
-66.795507,87,47.206059
-136.040767,156,47.498916
-131.634126,102,47.683245
-98.225773,110,47.879887
-57.027444,70,48.002533
23.566385,94,48.163159
-98.309963,139,48.425949
-103.099382,102,48.614314
-65.276258,150,48.908438
-156.225829,109,49.108165
-45.830205,85,49.258046
-184.095969,95,49.430683
1.561138,143,49.697901
-32.704502,93,49.870938
-123.942968,132,50.120225
-102.912609,138,53.436374
-130.044608,132,53.67461
-83.684108,177,54.010356
-104.31977,155,54.304336
-133.16706,158,54.606926
-144.889503,125,54.832138
-55.893159,97,55.006238
-64.30435,167,55.327061
-255.196674,156,55.617998
-183.988903,124,55.840831
5.995347,203,56.232785
-65.453513,150,56.536787
-39.968255,143,56.807235
-197.299047,103,56.992427
-57.311311,96,59.940053
-141.693996,118,60.153656
-178.083635,105,60.344671
-16.622901,141,60.613142
-17.67633,92,60.774582
-476.893073,119,61.025159
-110.332876,157,61.327066
-236.654672,198,61.714055
-22.191615,91,61.87931
-37.708605,134,62.128412
-41.554996,93,62.295163
-85.362033,223,62.741898
-123.651585,169,63.091681
-102.136101,142,63.359718
-110.582605,161,63.668235
-303.937182,158,66.837354
-64.187901,115,67.048001
-70.923812,118,67.261439
-136.010109,167,67.582068
-167.580193,143,67.857472
-64.560018,151,68.148444
-170.897712,117,68.368106
-73.153346,123,68.594906
-88.792196,151,68.897377
9.093212,157,69.194518
-78.657735,117,69.421073
-2.614415,83,69.571922
-103.950597,153,69.861977
-142.015251,187,70.220758
-141.090887,131,70.492989
-67.734194,70,70.614588
-98.939662,194,73.759751
-70.628901,96,73.927992
-49.937407,115,74.141398
-104.990472,96,74.314354
-127.095749,163,74.628777
-114.065503,105,74.817749
-279.468676,131,75.064586
-67.672198,111,75.265646
-270.754431,109,75.465542
-50.810694,137,75.717428
-36.609002,126,75.9449
-179.906956,179,76.281709
-48.806214,159,76.584855
-127.199447,210,76.983967
-199.388118,191,80.308945
-134.989022,230,80.765959
-14.705554,132,81.018477
-0.658855,146,81.297171
-142.772694,174,81.645931
-185.065333,181,82.002892
-53.329776,137,82.264994
-112.865513,140,82.533275
15.614359,130,82.7861
-162.977735,245,83.309755
-131.984982,105,83.502913
-39.344427,132,83.765266
-183.114946,187,84.146806
-42.222199,180,87.344261
-169.416115,209,87.771803
-39.686989,160,88.076977
-26.335557,231,88.557297
-98.114315,103,88.752491
-9.370325,125,89.013557
-59.713528,132,89.256678
-227.208304,220,89.721445
-52.773593,172,90.063889
-27.489124,136,90.322092
-191.06265,145,90.597153
-345.317455,202,91.002031
-125.678043,257,94.478843
-87.004777,194,94.867959
31.056003,135,95.122857
-31.015701,145,95.404069
-259.1399,234,95.881941
-41.537871,160,96.200103
-149.879758,188,96.57308
27.342276,190,96.95734
-140.341382,179,97.312843
-93.386577,297,97.984647
5.160592,188,101.059516
-66.91018,234,101.542876
-253.627659,170,101.880357
-224.821535,222,102.356581
6.273149,126,102.587769
-45.279505,161,102.9069
-116.940317,206,103.348224
-3.78306,158,103.665729
-124.299804,171,104.004757
-29.658681,120,104.236049
-250.007398,141,104.49255
-79.163285,219,104.944011
-12.139796,130,108.142459
-202.612214,263,108.724251
-155.503969,185,109.092749
-131.34089,365,110.030086
-81.236237,218,110.492509
-7.905791,276,111.112362
28.432144,116,111.343747
-288.659466,241,111.907605
-84.265237,260,112.490577
-111.179292,263,115.871384
-48.379946,283,116.492953
-60.050145,192,116.873296
5.203487,121,117.101318
174.477964,1000,120.065237
-88.420386,317,123.629725
-126.831428,267,124.22769
-99.00237,264,124.812835
-42.805445,162,125.145821
-65.094653,281,125.789329
-4.696423,222,126.259417
53.92491,185,126.645657
-114.635696,280,127.244618
-7.976155,137,127.500623
-52.273747,397,131.115281
25.83628,195,131.515113
-114.436242,375,132.538948
-94.135923,291,133.174937
-92.065711,217,133.622124
-19.391512,295,134.327206
-175.326209,254,134.882721
71.475665,1000,141.681397
-18.381618,175,142.025297
-66.614171,267,142.61372
-58.439865,175,142.956385
-119.852283,202,143.359438
-117.876556,216,143.805919
-241.510569,173,144.137729
-180.643607,163,147.224837
60.656954,1000,150.854429
-187.88546,302,151.602151
-15.204297,207,152.053086
-27.434821,226,152.539291
-10.62236,296,156.182377
-199.660235,196,156.587505
-59.702493,195,156.985537
-134.773846,260,157.558279
-8.060899,101,157.743734
-95.456346,332,158.522893
56.384321,1000,164.64103
-78.472783,265,165.190151
-12.476429,176,165.539193
125.769239,1000,169.067198
-1.983501,208,169.503023
69.934007,1000,175.450105
-222.557027,172,175.801089
11.501067,196,176.200774
-73.931442,252,176.742127
37.244572,377,177.707671
-17.476361,237,178.266385
-15.893397,240,181.65035
-50.79518,185,182.011308
-27.197032,210,182.447569
16.309672,229,182.920563
125.276302,1000,186.644307
-9.942245,198,187.036605
-205.262085,250,190.41857
-67.509935,341,191.292649
3.026907,299,191.991487
-31.76287,206,192.416837
-170.43393,264,192.992419
-156.301327,229,193.466567
-68.945964,389,194.460803
-63.375842,368,198.266496
-78.773901,269,198.891254
132.917442,1000,201.703709
117.865122,1000,208.356273
27.600471,102,208.546342
2.516193,282,209.205441
-36.183236,243,209.710452
34.793171,123,209.946034
-14.191937,245,210.486215
87.406558,1000,216.259715
-69.082209,441,217.515374
120.856136,1000,220.867378
-87.133039,276,224.279459
139.915013,1000,227.048309
36.802557,209,227.489335
0.926584,369,228.380334
-105.578968,265,229.00438
63.79339,1000,235.48523
-0.707882,195,235.880015
108.555993,1000,242.049161
37.669784,1000,246.78075
25.086589,1000,250.660111
103.894657,1000,257.001294
-43.053526,457,258.445314
-201.689388,821,263.860968
-21.302862,356,264.719476
-20.551668,359,265.641657
84.731422,1000,269.359496
122.0657,990,275.803862
11.827481,217,276.239418
20.167831,303,276.974587
160.753755,912,283.149312
264.824661,453,284.341866
213.486239,879,287.106067
147.339854,876,293.810788
-1.275352,200,294.221538
178.724627,827,297.267349
-79.225475,401,298.389304
-18.374376,274,301.710908
210.219028,550,303.556921
258.45838,431,304.601874
-149.165597,643,306.202109
218.396155,495,310.538616
209.737088,564,312.522481
211.160329,850,315.937511
176.311744,609,320.805425
181.956536,593,322.540046
-4.808085,433,323.75505
239.837612,439,325.063419
-43.253512,467,326.316365
226.798785,554,330.979279
91.509496,734,333.338971
172.405595,622,335.164255
-10.344102,266,338.626701
247.275357,440,339.839058
215.221538,454,341.134028
156.683281,544,342.739707
3.245374,177,343.13658
219.819766,458,347.532104
216.852185,363,348.499178
144.020118,649,350.518739
190.929141,585,352.45046
-21.657322,512,356.656011
195.380736,522,358.037151
213.791103,534,359.517969
256.913048,459,360.763042
150.449137,731,366.623833
220.916427,757,369.037872
250.634682,424,370.145193
143.370625,564,374.76405
135.561929,723,377.073282
130.602643,806,380.999992
202.457728,497,385.588719
205.248141,630,387.412863
-18.530737,658,390.093259
6.016557,376,391.173419
188.669144,783,396.147199
150.37461,719,398.854923
185.55301,730,401.099376
239.978026,589,406.202405
235.5192,540,407.66463
146.897472,840,411.245462
181.607094,635,416.348374
198.42673,655,418.804558
-138.650545,918,421.721295
146.899326,706,427.866947
180.54857,706,430.867956
158.006193,723,436.969792
213.446119,549,438.741887
234.795913,497,440.394519
213.103998,616,442.227953
178.0718,605,447.219488
237.134064,508,448.600498
-61.043101,616,451.065013
180.434983,678,456.628675
208.987863,596,458.544138
191.749201,562,460.604033
-56.284948,541,462.169879
170.96762,666,467.03881
-48.461032,545,468.603948
-88.404777,631,470.235339
-74.725028,509,471.768493
183.012826,560,476.145597
212.086343,425,477.292419
195.517588,576,478.84418
151.137611,582,483.565046
164.206092,576,485.898279
11.702443,1000,490.564685
213.562483,516,495.34752
182.229891,553,497.127686
196.822445,572,499.022535
-56.262833,466,500.344143
0.932277,355,501.151534
217.694102,498,505.537513
221.831145,485,507.024298
-33.76408,463,508.162146
1.332723,357,508.992089
212.121475,436,513.218988
202.796899,433,514.451098
241.125831,564,516.038049
220.203213,442,517.346282
219.950314,475,521.671551
216.904334,430,522.87461
247.67163,383,523.903704
205.582563,415,525.086022
200.923038,448,526.338687
221.705913,507,530.348583
87.648574,1000,533.287622
227.418467,395,534.400274
207.039342,396,535.45417
220.840386,462,539.805551
226.851005,516,541.374321
208.832912,410,542.522797
131.194819,842,548.344912
3.287926,408,549.464262
-69.596421,387,550.456216
187.023175,473,551.94783
201.977719,438,553.26426
210.457895,424,557.464591
216.059305,435,558.681141
198.645402,412,559.790158
194.424736,488,561.229516
238.564427,437,562.509884
-23.748775,432,566.486729
147.406698,705,568.881883
227.053984,473,570.249247
224.003405,406,571.354002
-26.494709,240,574.73487
247.47337,392,575.721162
237.063704,436,576.774143
221.69912,397,577.755139
218.939183,357,578.589307
223.058626,452,582.915504
13.704026,297,583.664803
222.169668,374,584.641768
-24.925846,380,585.634701
195.388717,474,587.061316
-36.683801,383,588.084644
22.224577,283,591.622013
194.842555,404,592.705473
191.89751,500,593.993855
-24.029598,245,594.547907
-28.695122,240,595.098153
-18.719418,374,596.136606
211.45151,426,600.217701
187.823122,415,601.346823
-24.125607,427,602.453618
-4.901881,241,602.976307
190.963315,647,607.680771
185.352026,481,609.047184
-41.941848,399,610.028609
214.601997,371,610.960008
194.142212,366,611.8777
205.485618,425,615.807517
217.817072,397,616.860682
-22.827791,268,617.484145
143.620628,724,619.602912
-59.373449,276,620.21894
-141.661153,716,625.071473
216.078461,486,626.768129
206.042332,464,628.068203
174.28612,588,629.735621
220.646837,378,633.657152
206.680317,363,634.487316
-62.408493,269,635.081165
-48.816114,503,636.420956
225.737247,501,637.887373
211.618241,385,641.762053
-63.636317,339,642.609203
176.947667,455,643.804467
156.663391,582,645.726312
222.515135,462,650.107132
197.316924,420,651.09111
-23.230246,369,652.013657
183.984847,447,653.110187
-38.407842,269,653.760663
187.764419,375,654.711134
214.603286,514,658.987448
-51.836056,297,659.679061
-152.819664,338,660.426147
-35.670621,1000,663.361209
165.470688,576,667.934059
-101.073334,373,668.945419
-18.133366,331,669.771438
218.294392,346,670.67624
163.838746,563,675.154523
151.804728,595,676.845854
206.195219,478,678.20359
175.5899,410,679.397038
205.968101,354,680.417615
243.344474,395,684.437903
-104.358015,596,686.270544
-73.679845,429,687.654466
204.776265,458,689.111787
156.959327,792,695.07881
214.520385,426,696.41276
222.543459,837,698.759968
-79.670057,320,702.481461
204.791201,524,703.888719
